thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
44,0,44,0,up,1,0.8984746669884771,None,44,0,44,0,86.28460329197696,,86.27562033297727,86.28460329197696,87.27265116700437,87.27846062497701,88.17454245800036,0,up,1,0.8984746669884771,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
45,0,45,0,down,0,0.9964561670203693,None,45,0,45,0,88.1842962919909,,88.1750581249944,88.1842962919909,89.17270274998737,89.1783554579888,90.17464070799178,0,down,0,0.9964561670203693,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
46,0,46,0,up,1,0.8153674580098595,None,46,0,46,0,90.18452441698173,,90.17539366698475,90.18452441698173,91.17270266698324,91.17901591700502,91.99132620799355,0,up,1,0.8153674580098595,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
47,0,47,0,up,1,0.7967877919727471,None,47,0,47,0,92.00155824999092,,91.99214654200478,92.00155824999092,92.98925241699908,92.99488949999795,93.79182158299955,0,up,1,0.7967877919727471,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
48,0,48,-5,up,0,0.8046762079757173,None,48,0,48,0,93.802002832992,,93.79248033298063,93.802002832992,94.7893553749891,94.79504799999995,95.59609758298029,-5,up,0,0.8046762079757173,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
49,0,49,0,up,1,1.369791915989481,None,49,0,49,0,95.60570912499679,,95.59677870798623,95.60570912499679,96.59622012497857,96.59622012497857,97.97419916698709,0,up,1,1.369791915989481,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
50,0,50,4,down,1,0.5622850830259267,None,50,0,50,0,97.98400262498762,,97.97478024999145,97.98400262498762,98.97263733300497,98.97848066699225,99.54151929198997,4,down,1,0.5622850830259267,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
51,0,51,0,up,1,0.7488644160039257,None,51,0,51,0,99.55160770798102,,99.54234374998487,99.55160770798102,100.53905758299516,100.5436824169883,101.29127945800428,0,up,1,0.7488644160039257,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
52,0,52,0,up,1,1.6342220000224188,None,52,0,52,0,101.30108024997753,,101.29199287499068,101.30108024997753,102.28945491698687,102.29575437499443,103.928735124995,0,up,1,1.6342220000224188,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
53,0,53,0,up,1,0.8002573330013547,None,53,0,53,0,103.9386204170005,,103.9291133749939,103.9386204170005,104.92251629199018,104.92798041697824,105.72997620797832,0,up,1,0.8002573330013547,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
