stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
38,0.5,1.0,51.89878237499943,,51.8945073750001,51.89878237499943,52.39639966699906,52.39258537500427,52.39258537500427,52.67952850000438,53.01097054200363,right,1.0,0,0,0.6136295000032987,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
39,0.5,1.5,53.01518091699836,,53.01132170799974,53.01518091699836,53.5131787920036,53.509234333003405,53.509234333003405,53.79580887500197,54.244320375000825,left,-1.5,1,1,0.7230360000030487,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
40,0.5,1.5,54.251952375001565,,54.24471929200081,54.251952375001565,54.746506708004745,54.7425193750023,54.7425193750023,55.02952666700003,55.29411995800183,left,-1.5,1,1,0.5427608340032748,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
41,0.5,1.5,55.3023749999993,,55.2944396669991,55.3023749999993,55.796676417005074,55.792532291998214,55.792532291998214,56.07939758300199,56.34442708300048,right,1.5,1,1,0.542688540997915,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
42,0.5,1.0,56.35228408300463,,56.34480366700154,56.35228408300463,56.84648991699942,56.84252420800476,56.84252420800476,57.12926720800169,57.41097583300143,left,-1.0,1,1,0.5627302499997313,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
43,0.5,1.0,57.41860758300027,,57.411322500003735,57.41860758300027,57.91358166700229,57.90929091699945,57.90929091699945,58.19588058299996,58.42758912499994,left,-1.0,0,0,0.5148410000037984,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
44,0.5,1.5,58.43239254200307,,58.42795304200263,58.43239254200307,58.929299208000884,58.92577149999852,58.92577149999852,59.21274045800237,59.54442037500121,right,1.5,1,1,0.6043202910004766,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
45,0.5,1.5,59.55220920799911,,59.54471466700488,59.55220920799911,60.046623750000435,60.0426298750026,60.0426298750026,60.32958541699918,60.52767000000313,right,1.5,1,1,0.4775187499981257,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
46,0.5,1.5,60.53633887500473,,60.52809745800187,60.53633887500473,61.0298063750015,61.02588916700188,61.02588916700188,61.312841917002515,61.61109945800126,left,-1.5,1,1,0.5812097919988446,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
47,0.5,1.0,61.61588679200213,,61.61145887499879,61.61588679200213,62.11325933300395,62.109255832998315,62.109255832998315,62.39597329200478,62.89457745799882,right,1.0,0,0,0.7807971669972176,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
48,0.5,1.5,62.89953745800449,,62.894950667003286,62.89953745800449,63.397415291998186,63.39299050000409,63.39299050000409,63.67996966699866,64.06119858300372,left,-1.5,1,1,0.6599834169974201,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
49,0.5,1.5,64.06914129199868,,64.06157204200281,64.06914129199868,64.56301141700533,64.55911216700042,64.55911216700042,64.84669933300029,65.09442700000363,right,1.5,1,1,0.523935208999319,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
50,0.5,1.5,65.10251091700047,,65.09478933300124,65.10251091700047,65.59698237499833,65.59266666699841,65.59266666699841,65.87957120800274,66.04734391700185,left,-1.5,0,0,0.4511603329956415,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
